t_Jacobi: 2.238513e+02 (530942 iterations) t_armadillo: 4.773625e-02
Jacobi eigenvalues:    Armadillo eigenvalues:                v0:                v1:                v2:
     9.55041153e+04            9.55041153e+04     3.70735495e-02    -6.00408742e-02    -6.01630685e-02
     9.73591748e+04            9.73591748e+04     3.73936383e-02    -6.02828971e-02    -5.97894079e-02
     9.92301451e+04            9.92301451e+04     3.77122568e-02    -6.05154386e-02    -5.93945892e-02
     1.01116953e+05            1.01116953e+05     3.80293923e-02    -6.07384621e-02    -5.89787521e-02
     1.03019524e+05            1.03019524e+05     3.83450325e-02    -6.09519326e-02    -5.85420436e-02
     1.04937783e+05            1.04937783e+05     3.86591650e-02    -6.11558164e-02    -5.80846184e-02
     1.06871655e+05            1.06871655e+05     3.89717773e-02    -6.13500815e-02    -5.76066383e-02
     1.08821064e+05            1.08821064e+05     3.92828573e-02    -6.15346974e-02    -5.71082724e-02
     1.10785933e+05            1.10785933e+05     3.95923926e-02    -6.17096350e-02    -5.65896972e-02
     1.12766185e+05            1.12766185e+05     3.99003711e-02    -6.18748668e-02    -5.60510960e-02
     1.14761742e+05            1.14761742e+05     4.02067806e-02    -6.20303668e-02    -5.54926597e-02
     1.16772526e+05            1.16772526e+05     4.05116092e-02    -6.21761105e-02    -5.49145856e-02
     1.18798458e+05            1.18798458e+05     4.08148449e-02    -6.23120751e-02    -5.43170785e-02
     1.20839457e+05            1.20839457e+05     4.11164757e-02    -6.24382391e-02    -5.37003498e-02
     1.22895444e+05            1.22895444e+05     4.14164898e-02    -6.25545827e-02    -5.30646176e-02
     1.24966337e+05            1.24966337e+05     4.17148753e-02    -6.26610876e-02    -5.24101070e-02
     1.27052056e+05            1.27052056e+05     4.20116205e-02    -6.27577370e-02    -5.17370497e-02
     1.29152519e+05            1.29152519e+05     4.23067139e-02    -6.28445158e-02    -5.10456837e-02
     1.31267642e+05            1.31267642e+05     4.26001437e-02    -6.29214103e-02    -5.03362537e-02
     1.33397343e+05            1.33397343e+05     4.28918984e-02    -6.29884085e-02    -4.96090109e-02
     1.35541537e+05            1.35541537e+05     4.31819665e-02    -6.30454996e-02    -4.88642125e-02
     1.37700141e+05            1.37700141e+05     4.34703368e-02    -6.30926749e-02    -4.81021221e-02
     1.39873070e+05            1.39873070e+05     4.37569977e-02    -6.31299268e-02    -4.73230094e-02
     1.42060238e+05            1.42060238e+05     4.40419381e-02    -6.31572495e-02    -4.65271501e-02
     1.44261559e+05            1.44261559e+05     4.43251467e-02    -6.31746388e-02    -4.57148258e-02
     1.46476947e+05            1.46476947e+05     4.46066124e-02    -6.31820918e-02    -4.48863241e-02
     1.48706314e+05            1.48706314e+05     4.48863241e-02    -6.31796074e-02    -4.40419381e-02
     1.50949574e+05            1.50949574e+05     4.51642709e-02    -6.31671861e-02    -4.31819665e-02
     1.53206637e+05            1.53206637e+05     4.54404417e-02    -6.31448296e-02    -4.23067139e-02
     1.55477414e+05            1.55477414e+05     4.57148258e-02    -6.31125417e-02    -4.14164898e-02
     1.57761818e+05            1.57761818e+05     4.59874124e-02    -6.30703272e-02    -4.05116092e-02
     1.60059757e+05            1.60059757e+05     4.62581907e-02    -6.30181930e-02    -3.95923926e-02
     1.62371142e+05            1.62371142e+05     4.65271501e-02    -6.29561471e-02    -3.86591650e-02
     1.64695882e+05            1.64695882e+05     4.67942800e-02    -6.28841994e-02    -3.77122568e-02
     1.67033884e+05            1.67033884e+05     4.70595699e-02    -6.28023612e-02    -3.67520030e-02
     1.69385058e+05            1.69385058e+05     4.73230094e-02    -6.27106452e-02    -3.57787435e-02
     1.71749310e+05            1.71749310e+05     4.75845881e-02    -6.26090661e-02    -3.47928226e-02
     1.74126549e+05            1.74126549e+05     4.78442957e-02    -6.24976396e-02    -3.37945894e-02
     1.76516679e+05            1.76516679e+05     4.81021221e-02    -6.23763834e-02    -3.27843969e-02
     1.78919609e+05            1.78919609e+05     4.83580570e-02    -6.22453166e-02    -3.17626028e-02
