t_Jacobi: 4.133827e+01 (81671 iterations) t_armadillo: 1.407700e-02
Jacobi eigenvalues:    Armadillo eigenvalues:                v0:                v1:                v2:
     2.71367750e+03            2.71367750e+03     5.39856231e-02     1.27296618e-01     3.87003263e-02
     2.76357840e+03            2.76357840e+03     5.18226241e-02     1.26330918e-01     4.53391727e-02
     2.81359606e+03            2.81359606e+03     4.97079939e-02     1.25182079e-01     5.18026359e-02
     2.86371826e+03            2.86371826e+03     4.76430943e-02     1.23860166e-01     5.80691896e-02
     2.91393276e+03            2.91393276e+03     4.56290960e-02     1.22375421e-01     6.41189583e-02
     2.96422728e+03            2.96422728e+03     4.36669846e-02     1.20738210e-01     6.99337657e-02
     3.01458954e+03            3.01458954e+03     4.17575674e-02     1.18958974e-01     7.54971699e-02
     3.06500724e+03            3.06500724e+03     3.99014804e-02     1.17048182e-01     8.07944869e-02
     3.11546806e+03            3.11546806e+03     3.80991952e-02     1.15016284e-01     8.58128013e-02
     3.16595967e+03            3.16595967e+03     3.63510267e-02     1.12873670e-01     9.05409666e-02
     3.21646975e+03            3.21646975e+03     3.46571408e-02     1.10630626e-01     9.49695937e-02
     3.26698595e+03            3.26698595e+03     3.30175617e-02     1.08297302e-01     9.90910291e-02
     3.31749592e+03            3.31749592e+03     3.14321801e-02     1.05883669e-01     1.02899324e-01
     3.36798734e+03            3.36798734e+03     2.99007610e-02     1.03399492e-01     1.06390194e-01
     3.41844787e+03            3.41844787e+03     2.84229515e-02     1.00854297e-01     1.09560969e-01
     3.46886518e+03            3.46886518e+03     2.69982890e-02     9.82573471e-02     1.12410539e-01
     3.51922695e+03            3.51922695e+03     2.56262086e-02     9.56176134e-02     1.14939291e-01
     3.56952088e+03            3.56952088e+03     2.43060511e-02     9.29437571e-02     1.17149035e-01
     3.61973468e+03            3.61973468e+03     2.30370710e-02     9.02441091e-02     1.19042938e-01
     3.66985609e+03            3.66985609e+03     2.18184431e-02     8.75266537e-02     1.20625437e-01
     3.71987287e+03            3.71987287e+03     2.06492708e-02     8.47990148e-02     1.21902160e-01
     3.76977279e+03            3.76977279e+03     1.95285926e-02     8.20684449e-02     1.22879840e-01
