t_Jacobi: 2.356440e+00 (21137 iterations) t_armadillo: 2.211900e-02
Jacobi eigenvalues:    Armadillo eigenvalues:                v0:                v1:                v2:
     3.93992012e+04            3.93992012e+04     5.13135837e-02     9.55606776e-02    -1.26647931e-01
     3.96213830e+04            3.96213830e+04     4.72137433e-02     8.89539277e-02    -1.20381552e-01
     3.98249714e+04            3.98249714e+04     4.30682266e-02     8.20030324e-02    -1.13067697e-01
     4.00097693e+04            4.00097693e+04     3.88810442e-02     7.47348833e-02    -1.04770005e-01
     4.01755980e+04            4.01755980e+04     3.46562468e-02     6.71775995e-02    -9.55606776e-02
     4.03222970e+04            4.03222970e+04     3.03979218e-02     5.93604186e-02    -8.55198475e-02
     4.04497243e+04            4.04497243e+04     2.61101888e-02     5.13135837e-02    -7.47348833e-02
     4.05577568e+04            4.05577568e+04     2.17971959e-02     4.30682266e-02    -6.32996282e-02
     4.06462899e+04            4.06462899e+04     1.74631155e-02     3.46562468e-02    -5.13135837e-02
     4.07152380e+04            4.07152380e+04     1.31121408e-02     2.61101888e-02    -3.88810442e-02
     4.07645343e+04            4.07645343e+04     8.74848085e-03     1.74631155e-02    -2.61101888e-02
     4.07941312e+04            4.07941312e+04     4.37635735e-03     8.74848085e-03    -1.31121408e-02
